concept set,Id,Code,Name,Class,Standard Concept Caption,Valid Start Date,Valid End Date,Domain,Vocabulary,,,,
rheumatoid arthritis,45591711,M08.471,"Pauciarticular juvenile rheumatoid arthritis, right ankle and foot",6-char billing code,Non-Standard,12/31/69,12/30/99,"17,262","17,262",0,0,Condition,ICD10CM
rheumatoid arthritis,45543433,M05.549,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified hand,6-char billing code,Non-Standard,12/31/69,12/30/99,"16,976","16,976",0,0,Condition,ICD10CM
rheumatoid arthritis,45591688,M05.141,Rheumatoid lung disease with rheumatoid arthritis of right hand,6-char billing code,Non-Standard,12/31/69,12/30/99,"16,974","16,974",0,0,Condition,ICD10CM
rheumatoid arthritis,45577102,M05.631,Rheumatoid arthritis of right wrist with involvement of other organs and systems,6-char billing code,Non-Standard,12/31/69,12/30/99,"16,792","16,792",0,0,Condition,ICD10CM
rheumatoid arthritis,45601280,M05.821,Other rheumatoid arthritis with rheumatoid factor of right elbow,6-char billing code,Non-Standard,12/31/69,12/30/99,"16,706","16,706",0,0,Condition,ICD10CM
rheumatoid arthritis,45533694,M05.462,Rheumatoid myopathy with rheumatoid arthritis of left knee,6-char billing code,Non-Standard,12/31/69,12/30/99,"16,422","16,422",0,0,Condition,ICD10CM
rheumatoid arthritis,45567411,M05.431,Rheumatoid myopathy with rheumatoid arthritis of right wrist,6-char billing code,Non-Standard,12/31/69,12/30/99,"16,312","16,312",0,0,Condition,ICD10CM
rheumatoid arthritis,45606052,M05.851,Other rheumatoid arthritis with rheumatoid factor of right hip,6-char billing code,Non-Standard,12/31/69,12/30/99,"16,138","16,138",0,0,Condition,ICD10CM
rheumatoid arthritis,45586841,M06.261,"Rheumatoid bursitis, right knee",6-char billing code,Non-Standard,12/31/69,12/30/99,"15,986","15,986",0,0,Condition,ICD10CM
rheumatoid arthritis,45538639,M06.821,"Other specified rheumatoid arthritis, right elbow",6-char billing code,Non-Standard,12/31/69,12/30/99,"15,691","15,691",0,0,Condition,ICD10CM
rheumatoid arthritis,45548271,M06.869,"Other specified rheumatoid arthritis, unspecified knee",6-char billing code,Non-Standard,12/31/69,12/30/99,"15,585","15,585",0,0,Condition,ICD10CM
rheumatoid arthritis,45553043,M05.671,Rheumatoid arthritis of right ankle and foot with involvement of other organs and systems,6-char billing code,Non-Standard,12/31/69,12/30/99,"15,565","15,565",0,0,Condition,ICD10CM
rheumatoid arthritis,45601281,M05.822,Other rheumatoid arthritis with rheumatoid factor of left elbow,6-char billing code,Non-Standard,12/31/69,12/30/99,"15,200","15,200",0,0,Condition,ICD10CM
rheumatoid arthritis,45562594,M06.262,"Rheumatoid bursitis, left knee",6-char billing code,Non-Standard,12/31/69,12/30/99,"15,028","15,028",0,0,Condition,ICD10CM
rheumatoid arthritis,45601283,M05.852,Other rheumatoid arthritis with rheumatoid factor of left hip,6-char billing code,Non-Standard,12/31/69,12/30/99,"15,018","15,018",0,0,Condition,ICD10CM
rheumatoid arthritis,45533707,M08.472,"Pauciarticular juvenile rheumatoid arthritis, left ankle and foot",6-char billing code,Non-Standard,12/31/69,12/30/99,"14,596","14,596",0,0,Condition,ICD10CM
rheumatoid arthritis,45538625,M05.272,Rheumatoid vasculitis with rheumatoid arthritis of left ankle and foot,6-char billing code,Non-Standard,12/31/69,12/30/99,"14,530","14,530",0,0,Condition,ICD10CM
rheumatoid arthritis,45596431,M05.419,Rheumatoid myopathy with rheumatoid arthritis of unspecified shoulder,6-char billing code,Non-Standard,12/31/69,12/30/99,"14,530","14,530",0,0,Condition,ICD10CM
rheumatoid arthritis,45596426,M05.241,Rheumatoid vasculitis with rheumatoid arthritis of right hand,6-char billing code,Non-Standard,12/31/69,12/30/99,"14,352","14,352",0,0,Condition,ICD10CM
rheumatoid arthritis,45572336,M05.649,Rheumatoid arthritis of unspecified hand with involvement of other organs and systems,6-char billing code,Non-Standard,12/31/69,12/30/99,"14,285","14,285",0,0,Condition,ICD10CM
rheumatoid arthritis,4114444,201791009,Flare of rheumatoid arthritis,Disorder,Standard,1/30/02,12/30/99,"14,253","14,253","8,865","8,865",Condition,SNOMED
rheumatoid arthritis,36045683,10060732,Rheumatoid arthritis flare up,LLT,Classification,12/31/69,12/30/99,0,"14,253",0,"8,865",Condition,MedDRA
rheumatoid arthritis,2107572,3476F,"Disease prognosis for rheumatoid arthritis assessed, good prognosis documented (RA)",CPT4,Standard,4/2/10,12/30/99,"14,233","14,233","5,692","5,692",Observation,CPT4
rheumatoid arthritis,36685024,1.07383E+15,Rheumatoid arthritis of right wrist,Disorder,Standard,1/30/19,12/30/99,"14,208","14,209","4,816","4,817",Condition,SNOMED
rheumatoid arthritis,45548258,M05.561,Rheumatoid polyneuropathy with rheumatoid arthritis of right knee,6-char billing code,Non-Standard,12/31/69,12/30/99,"14,150","14,150",0,0,Condition,ICD10CM
rheumatoid arthritis,45553041,M05.579,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified ankle and foot,6-char billing code,Non-Standard,12/31/69,12/30/99,"14,018","14,018",0,0,Condition,ICD10CM
rheumatoid arthritis,2108721,4195F,Patient receiving first-time biologic disease modifying anti-rheumatic drug therapy for rheumatoid arthritis (RA),CPT4,Standard,4/2/10,12/30/99,"13,984","13,984","4,982","4,982",Observation,CPT4
rheumatoid arthritis,45591699,M05.662,Rheumatoid arthritis of left knee with involvement of other organs and systems,6-char billing code,Non-Standard,12/31/69,12/30/99,"13,824","13,824",0,0,Condition,ICD10CM
rheumatoid arthritis,45606047,M05.661,Rheumatoid arthritis of right knee with involvement of other organs and systems,6-char billing code,Non-Standard,12/31/69,12/30/99,"13,811","13,811",0,0,Condition,ICD10CM
rheumatoid arthritis,45577112,M06.221,"Rheumatoid bursitis, right elbow",6-char billing code,Non-Standard,12/31/69,12/30/99,"13,780","13,780",0,0,Condition,ICD10CM
rheumatoid arthritis,45591691,M05.271,Rheumatoid vasculitis with rheumatoid arthritis of right ankle and foot,6-char billing code,Non-Standard,12/31/69,12/30/99,"13,750","13,750",0,0,Condition,ICD10CM
rheumatoid arthritis,35609009,1.07374E+15,Rheumatoid arthritis of left shoulder,Disorder,Standard,7/30/18,12/30/99,"13,727","13,727","3,421","3,421",Condition,SNOMED
rheumatoid arthritis,725371,M05.8A,Other rheumatoid arthritis with rheumatoid factor of other specified site,5-char billing code,Non-Standard,12/31/20,12/30/99,"13,647","13,647",0,0,Condition,ICD10CM
rheumatoid arthritis,45562606,M08.871,"Other juvenile arthritis, right ankle and foot",6-char billing code,Non-Standard,12/31/69,12/30/99,"13,498","13,498",0,0,Condition,ICD10CM
rheumatoid arthritis,45577111,M06.219,"Rheumatoid bursitis, unspecified shoulder",6-char billing code,Non-Standard,12/31/69,12/30/99,"13,424","13,424",0,0,Condition,ICD10CM
rheumatoid arthritis,45601285,M06.222,"Rheumatoid bursitis, left elbow",6-char billing code,Non-Standard,12/31/69,12/30/99,"13,416","13,416",0,0,Condition,ICD10CM
rheumatoid arthritis,45538643,M08.051,"Unspecified juvenile rheumatoid arthritis, right hip",6-char billing code,Non-Standard,12/31/69,12/30/99,"13,366","13,366",0,0,Condition,ICD10CM
rheumatoid arthritis,45562598,M06.822,"Other specified rheumatoid arthritis, left elbow",6-char billing code,Non-Standard,12/31/69,12/30/99,"13,263","13,263",0,0,Condition,ICD10CM
rheumatoid arthritis,45606080,M08.872,"Other juvenile arthritis, left ankle and foot",6-char billing code,Non-Standard,12/31/69,12/30/99,"13,254","13,254",0,0,Condition,ICD10CM
rheumatoid arthritis,2107559,3471F,"Rheumatoid arthritis (RA) disease activity, moderate (RA)",CPT4,Standard,4/2/10,12/30/99,"13,223","13,223","6,140","6,140",Observation,CPT4
rheumatoid arthritis,45601278,M05.632,Rheumatoid arthritis of left wrist with involvement of other organs and systems,6-char billing code,Non-Standard,12/31/69,12/30/99,"13,116","13,116",0,0,Condition,ICD10CM
rheumatoid arthritis,45577108,M06.059,"Rheumatoid arthritis without rheumatoid factor, unspecified hip",6-char billing code,Non-Standard,12/31/69,12/30/99,"13,054","13,054",0,0,Condition,ICD10CM
rheumatoid arthritis,36685020,1.07375E+15,Rheumatoid arthritis of left wrist,Disorder,Standard,1/30/19,12/30/99,"12,427","12,427","4,153","4,153",Condition,SNOMED
rheumatoid arthritis,45601293,M08.031,"Unspecified juvenile rheumatoid arthritis, right wrist",6-char billing code,Non-Standard,12/31/69,12/30/99,"11,872","11,872",0,0,Condition,ICD10CM
rheumatoid arthritis,45577118,M06.839,"Other specified rheumatoid arthritis, unspecified wrist",6-char billing code,Non-Standard,12/31/69,12/30/99,"11,481","11,481",0,0,Condition,ICD10CM
rheumatoid arthritis,45543446,M08.032,"Unspecified juvenile rheumatoid arthritis, left wrist",6-char billing code,Non-Standard,12/31/69,12/30/99,"11,388","11,388",0,0,Condition,ICD10CM
rheumatoid arthritis,45582009,M05.432,Rheumatoid myopathy with rheumatoid arthritis of left wrist,6-char billing code,Non-Standard,12/31/69,12/30/99,"11,368","11,368",0,0,Condition,ICD10CM
rheumatoid arthritis,45586834,M05.111,Rheumatoid lung disease with rheumatoid arthritis of right shoulder,6-char billing code,Non-Standard,12/31/69,12/30/99,"11,182","11,182",0,0,Condition,ICD10CM
rheumatoid arthritis,45606043,M05.242,Rheumatoid vasculitis with rheumatoid arthritis of left hand,6-char billing code,Non-Standard,12/31/69,12/30/99,"10,808","10,808",0,0,Condition,ICD10CM
rheumatoid arthritis,45548278,M08.261,"Juvenile rheumatoid arthritis with systemic onset, right knee",6-char billing code,Non-Standard,12/31/69,12/30/99,"10,644","10,644",0,0,Condition,ICD10CM
rheumatoid arthritis,2107561,3475F,"Disease prognosis for rheumatoid arthritis assessed, poor prognosis documented (RA)",CPT4,Standard,4/2/10,12/30/99,"10,547","10,547","4,265","4,265",Observation,CPT4
rheumatoid arthritis,45543448,M08.971,"Juvenile arthritis, unspecified, right ankle and foot",6-char billing code,Non-Standard,12/31/69,12/30/99,"10,488","10,488",0,0,Condition,ICD10CM
rheumatoid arthritis,45606069,M08.052,"Unspecified juvenile rheumatoid arthritis, left hip",6-char billing code,Non-Standard,12/31/69,12/30/99,"10,330","10,330",0,0,Condition,ICD10CM
rheumatoid arthritis,45606083,M08.972,"Juvenile arthritis, unspecified, left ankle and foot",6-char billing code,Non-Standard,12/31/69,12/30/99,"10,318","10,318",0,0,Condition,ICD10CM
rheumatoid arthritis,45548257,M05.531,Rheumatoid polyneuropathy with rheumatoid arthritis of right wrist,6-char billing code,Non-Standard,12/31/69,12/30/99,"10,230","10,230",0,0,Condition,ICD10CM
rheumatoid arthritis,45582012,M05.562,Rheumatoid polyneuropathy with rheumatoid arthritis of left knee,6-char billing code,Non-Standard,12/31/69,12/30/99,"10,096","10,096",0,0,Condition,ICD10CM
rheumatoid arthritis,42539550,735599007,Rheumatoid arthritis with erosion of joint,Disorder,Standard,1/30/18,12/30/99,8,"10,088",5,"2,609",Condition,SNOMED
rheumatoid arthritis,4147418,308143008,Seropositive erosive rheumatoid arthritis,Disorder,Standard,1/30/02,12/30/99,"10,066","10,066","2,597","2,597",Condition,SNOMED
rheumatoid arthritis,45577094,M05.149,Rheumatoid lung disease with rheumatoid arthritis of unspecified hand,6-char billing code,Non-Standard,12/31/69,12/30/99,"10,026","10,026",0,0,Condition,ICD10CM
rheumatoid arthritis,45596430,M05.412,Rheumatoid myopathy with rheumatoid arthritis of left shoulder,6-char billing code,Non-Standard,12/31/69,12/30/99,"9,930","9,930",0,0,Condition,ICD10CM
rheumatoid arthritis,45577093,M05.142,Rheumatoid lung disease with rheumatoid arthritis of left hand,6-char billing code,Non-Standard,12/31/69,12/30/99,"9,884","9,884",0,0,Condition,ICD10CM
rheumatoid arthritis,45562590,M05.569,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified knee,6-char billing code,Non-Standard,12/31/69,12/30/99,"9,860","9,860",0,0,Condition,ICD10CM
rheumatoid arthritis,45577125,M08.262,"Juvenile rheumatoid arthritis with systemic onset, left knee",6-char billing code,Non-Standard,12/31/69,12/30/99,"9,836","9,836",0,0,Condition,ICD10CM
rheumatoid arthritis,45553047,M05.839,Other rheumatoid arthritis with rheumatoid factor of unspecified wrist,6-char billing code,Non-Standard,12/31/69,12/30/99,"9,816","9,816",0,0,Condition,ICD10CM
rheumatoid arthritis,45572328,M05.261,Rheumatoid vasculitis with rheumatoid arthritis of right knee,6-char billing code,Non-Standard,12/31/69,12/30/99,"9,750","9,750",0,0,Condition,ICD10CM
rheumatoid arthritis,45606039,M05.011,"Felty's syndrome, right shoulder",6-char billing code,Non-Standard,12/31/69,12/30/99,"9,646","9,646",0,0,Condition,ICD10CM
rheumatoid arthritis,45586852,M08.279,"Juvenile rheumatoid arthritis with systemic onset, unspecified ankle and foot",6-char billing code,Non-Standard,12/31/69,12/30/99,"9,624","9,624",0,0,Condition,ICD10CM
rheumatoid arthritis,45538629,M05.511,Rheumatoid polyneuropathy with rheumatoid arthritis of right shoulder,6-char billing code,Non-Standard,12/31/69,12/30/99,"9,340","9,340",0,0,Condition,ICD10CM
rheumatoid arthritis,45606059,M06.242,"Rheumatoid bursitis, left hand",6-char billing code,Non-Standard,12/31/69,12/30/99,"9,316","9,316",0,0,Condition,ICD10CM
rheumatoid arthritis,45577095,M05.161,Rheumatoid lung disease with rheumatoid arthritis of right knee,6-char billing code,Non-Standard,12/31/69,12/30/99,"8,522","8,522",0,0,Condition,ICD10CM
rheumatoid arthritis,45557768,M08.069,"Unspecified juvenile rheumatoid arthritis, unspecified knee",6-char billing code,Non-Standard,12/31/69,12/30/99,"8,390","8,390",0,0,Condition,ICD10CM
rheumatoid arthritis,45548249,M05.041,"Felty's syndrome, right hand",6-char billing code,Non-Standard,12/31/69,12/30/99,"8,380","8,380",0,0,Condition,ICD10CM
rheumatoid arthritis,45591692,M05.469,Rheumatoid myopathy with rheumatoid arthritis of unspecified knee,6-char billing code,Non-Standard,12/31/69,12/30/99,"8,142","8,142",0,0,Condition,ICD10CM
rheumatoid arthritis,45601277,M05.621,Rheumatoid arthritis of right elbow with involvement of other organs and systems,6-char billing code,Non-Standard,12/31/69,12/30/99,"8,118","8,118",0,0,Condition,ICD10CM
rheumatoid arthritis,2107560,3472F,"Rheumatoid arthritis (RA) disease activity, high (RA)",CPT4,Standard,4/2/10,12/30/99,"8,093","8,093","3,229","3,229",Observation,CPT4
rheumatoid arthritis,45606040,M05.179,Rheumatoid lung disease with rheumatoid arthritis of unspecified ankle and foot,6-char billing code,Non-Standard,12/31/69,12/30/99,"8,026","8,026",0,0,Condition,ICD10CM
rheumatoid arthritis,45520373,N040P00,Seronegative rheumatoid arthritis,Read,Non-Standard,12/31/69,12/30/99,"7,958","7,958",0,0,Condition,Read
rheumatoid arthritis,45553037,M05.162,Rheumatoid lung disease with rheumatoid arthritis of left knee,6-char billing code,Non-Standard,12/31/69,12/30/99,"7,582","7,582",0,0,Condition,ICD10CM
rheumatoid arthritis,36685022,1.07377E+15,Rheumatoid arthritis of right elbow,Disorder,Standard,8/31/18,12/30/99,"7,499","7,502","2,302","2,304",Condition,SNOMED
rheumatoid arthritis,45533710,M08.969,"Juvenile arthritis, unspecified, unspecified knee",6-char billing code,Non-Standard,12/31/69,12/30/99,"7,354","7,354",0,0,Condition,ICD10CM
rheumatoid arthritis,45572334,M05.479,Rheumatoid myopathy with rheumatoid arthritis of unspecified ankle and foot,6-char billing code,Non-Standard,12/31/69,12/30/99,"7,238","7,238",0,0,Condition,ICD10CM
rheumatoid arthritis,45601288,M06.819,"Other specified rheumatoid arthritis, unspecified shoulder",6-char billing code,Non-Standard,12/31/69,12/30/99,"7,222","7,222",0,0,Condition,ICD10CM
rheumatoid arthritis,45567432,M08.011,"Unspecified juvenile rheumatoid arthritis, right shoulder",6-char billing code,Non-Standard,12/31/69,12/30/99,"7,222","7,222",0,0,Condition,ICD10CM
rheumatoid arthritis,45543432,M05.451,Rheumatoid myopathy with rheumatoid arthritis of right hip,6-char billing code,Non-Standard,12/31/69,12/30/99,"7,180","7,180",0,0,Condition,ICD10CM
rheumatoid arthritis,45591696,M05.622,Rheumatoid arthritis of left elbow with involvement of other organs and systems,6-char billing code,Non-Standard,12/31/69,12/30/99,"7,144","7,144",0,0,Condition,ICD10CM
rheumatoid arthritis,45586851,M08.272,"Juvenile rheumatoid arthritis with systemic onset, left ankle and foot",6-char billing code,Non-Standard,12/31/69,12/30/99,"7,126","7,126",0,0,Condition,ICD10CM
rheumatoid arthritis,45543437,M06.241,"Rheumatoid bursitis, right hand",6-char billing code,Non-Standard,12/31/69,12/30/99,"7,082","7,082",0,0,Condition,ICD10CM
rheumatoid arthritis,45548250,M05.042,"Felty's syndrome, left hand",6-char billing code,Non-Standard,12/31/69,12/30/99,"7,046","7,046",0,0,Condition,ICD10CM
rheumatoid arthritis,45538624,M05.249,Rheumatoid vasculitis with rheumatoid arthritis of unspecified hand,6-char billing code,Non-Standard,12/31/69,12/30/99,"6,932","6,932",0,0,Condition,ICD10CM
rheumatoid arthritis,45538630,M05.539,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified wrist,6-char billing code,Non-Standard,12/31/69,12/30/99,"6,880","6,880",0,0,Condition,ICD10CM
rheumatoid arthritis,36685018,1.07369E+15,Rheumatoid arthritis of left elbow,Disorder,Standard,8/31/18,12/30/99,"6,780","6,783","2,185","2,187",Condition,SNOMED
rheumatoid arthritis,45601279,M05.679,Rheumatoid arthritis of unspecified ankle and foot with involvement of other organs and systems,6-char billing code,Non-Standard,12/31/69,12/30/99,"6,616","6,616",0,0,Condition,ICD10CM
rheumatoid arthritis,45557760,M05.639,Rheumatoid arthritis of unspecified wrist with involvement of other organs and systems,6-char billing code,Non-Standard,12/31/69,12/30/99,"6,595","6,595",0,0,Condition,ICD10CM
rheumatoid arthritis,45548279,M08.271,"Juvenile rheumatoid arthritis with systemic onset, right ankle and foot",6-char billing code,Non-Standard,12/31/69,12/30/99,"6,588","6,588",0,0,Condition,ICD10CM
rheumatoid arthritis,45601295,M08.049,"Unspecified juvenile rheumatoid arthritis, unspecified hand",6-char billing code,Non-Standard,12/31/69,12/30/99,"6,576","6,576",0,0,Condition,ICD10CM
rheumatoid arthritis,45591693,M05.532,Rheumatoid polyneuropathy with rheumatoid arthritis of left wrist,6-char billing code,Non-Standard,12/31/69,12/30/99,"6,534","6,534",0,0,Condition,ICD10CM
rheumatoid arthritis,45572333,M05.452,Rheumatoid myopathy with rheumatoid arthritis of left hip,6-char billing code,Non-Standard,12/31/69,12/30/99,"6,502","6,502",0,0,Condition,ICD10CM
rheumatoid arthritis,45548282,M08.432,"Pauciarticular juvenile rheumatoid arthritis, left wrist",6-char billing code,Non-Standard,12/31/69,12/30/99,"6,496","6,496",0,0,Condition,ICD10CM
rheumatoid arthritis,45596446,M06.829,"Other specified rheumatoid arthritis, unspecified elbow",6-char billing code,Non-Standard,12/31/69,12/30/99,"6,422","6,422",0,0,Condition,ICD10CM
rheumatoid arthritis,45562603,M08.431,"Pauciarticular juvenile rheumatoid arthritis, right wrist",6-char billing code,Non-Standard,12/31/69,12/30/99,"6,324","6,324",0,0,Condition,ICD10CM
rheumatoid arthritis,45533708,M08.951,"Juvenile arthritis, unspecified, right hip",6-char billing code,Non-Standard,12/31/69,12/30/99,"6,314","6,314",0,0,Condition,ICD10CM
rheumatoid arthritis,45533700,M05.859,Other rheumatoid arthritis with rheumatoid factor of unspecified hip,6-char billing code,Non-Standard,12/31/69,12/30/99,"6,308","6,308",0,0,Condition,ICD10CM
rheumatoid arthritis,45553060,M08.831,"Other juvenile arthritis, right wrist",6-char billing code,Non-Standard,12/31/69,12/30/99,"6,266","6,266",0,0,Condition,ICD10CM
rheumatoid arthritis,45562589,M05.421,Rheumatoid myopathy with rheumatoid arthritis of right elbow,6-char billing code,Non-Standard,12/31/69,12/30/99,"6,204","6,204",0,0,Condition,ICD10CM
rheumatoid arthritis,45533690,M05.071,"Felty's syndrome, right ankle and foot",6-char billing code,Non-Standard,12/31/69,12/30/99,"6,144","6,144",0,0,Condition,ICD10CM
rheumatoid arthritis,45606046,M05.512,Rheumatoid polyneuropathy with rheumatoid arthritis of left shoulder,6-char billing code,Non-Standard,12/31/69,12/30/99,"6,124","6,124",0,0,Condition,ICD10CM
rheumatoid arthritis,45606060,M06.259,"Rheumatoid bursitis, unspecified hip",6-char billing code,Non-Standard,12/31/69,12/30/99,"6,116","6,116",0,0,Condition,ICD10CM
rheumatoid arthritis,45606048,M05.669,Rheumatoid arthritis of unspecified knee with involvement of other organs and systems,6-char billing code,Non-Standard,12/31/69,12/30/99,"6,096","6,096",0,0,Condition,ICD10CM
rheumatoid arthritis,45557780,M08.952,"Juvenile arthritis, unspecified, left hip",6-char billing code,Non-Standard,12/31/69,12/30/99,"6,088","6,088",0,0,Condition,ICD10CM
rheumatoid arthritis,45606082,M08.931,"Juvenile arthritis, unspecified, right wrist",6-char billing code,Non-Standard,12/31/69,12/30/99,"6,024","6,024",0,0,Condition,ICD10CM
rheumatoid arthritis,45557764,M06.231,"Rheumatoid bursitis, right wrist",6-char billing code,Non-Standard,12/31/69,12/30/99,"6,016","6,016",0,0,Condition,ICD10CM
rheumatoid arthritis,45586856,M08.851,"Other juvenile arthritis, right hip",6-char billing code,Non-Standard,12/31/69,12/30/99,"6,002","6,002",0,0,Condition,ICD10CM
rheumatoid arthritis,45533696,M05.652,Rheumatoid arthritis of left hip with involvement of other organs and systems,6-char billing code,Non-Standard,12/31/69,12/30/99,"6,001","6,001",0,0,Condition,ICD10CM
rheumatoid arthritis,45553036,M05.079,"Felty's syndrome, unspecified ankle and foot",6-char billing code,Non-Standard,12/31/69,12/30/99,"5,846","5,846",0,0,Condition,ICD10CM
rheumatoid arthritis,45548284,M08.832,"Other juvenile arthritis, left wrist",6-char billing code,Non-Standard,12/31/69,12/30/99,"5,618","5,618",0,0,Condition,ICD10CM
rheumatoid arthritis,45567424,M06.859,"Other specified rheumatoid arthritis, unspecified hip",6-char billing code,Non-Standard,12/31/69,12/30/99,"5,562","5,562",0,0,Condition,ICD10CM
rheumatoid arthritis,45572347,M08.022,"Unspecified juvenile rheumatoid arthritis, left elbow",6-char billing code,Non-Standard,12/31/69,12/30/99,"5,554","5,554",0,0,Condition,ICD10CM
rheumatoid arthritis,45543445,M08.021,"Unspecified juvenile rheumatoid arthritis, right elbow",6-char billing code,Non-Standard,12/31/69,12/30/99,"5,524","5,524",0,0,Condition,ICD10CM
rheumatoid arthritis,45591695,M05.551,Rheumatoid polyneuropathy with rheumatoid arthritis of right hip,6-char billing code,Non-Standard,12/31/69,12/30/99,"5,492","5,492",0,0,Condition,ICD10CM
rheumatoid arthritis,45543431,M05.231,Rheumatoid vasculitis with rheumatoid arthritis of right wrist,6-char billing code,Non-Standard,12/31/69,12/30/99,"5,476","5,476",0,0,Condition,ICD10CM
rheumatoid arthritis,45567406,M05.139,Rheumatoid lung disease with rheumatoid arthritis of unspecified wrist,6-char billing code,Non-Standard,12/31/69,12/30/99,"5,458","5,458",0,0,Condition,ICD10CM
rheumatoid arthritis,45557772,M08.441,"Pauciarticular juvenile rheumatoid arthritis, right hand",6-char billing code,Non-Standard,12/31/69,12/30/99,"5,368","5,368",0,0,Condition,ICD10CM
rheumatoid arthritis,45582011,M05.559,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified hip,6-char billing code,Non-Standard,12/31/69,12/30/99,"5,356","5,356",0,0,Condition,ICD10CM
rheumatoid arthritis,45562595,M06.269,"Rheumatoid bursitis, unspecified knee",6-char billing code,Non-Standard,12/31/69,12/30/99,"5,320","5,320",0,0,Condition,ICD10CM
rheumatoid arthritis,45437058,N040T00,Flare of rheumatoid arthritis,Read,Non-Standard,12/31/69,12/30/99,"5,314","5,314",0,0,Condition,Read
rheumatoid arthritis,45601302,M08.469,"Pauciarticular juvenile rheumatoid arthritis, unspecified knee",6-char billing code,Non-Standard,12/31/69,12/30/99,"5,286","5,286",0,0,Condition,ICD10CM
rheumatoid arthritis,45606081,M08.912,"Juvenile arthritis, unspecified, left shoulder",6-char billing code,Non-Standard,12/31/69,12/30/99,"5,264","5,264",0,0,Condition,ICD10CM
rheumatoid arthritis,45543447,M08.852,"Other juvenile arthritis, left hip",6-char billing code,Non-Standard,12/31/69,12/30/99,"5,256","5,256",0,0,Condition,ICD10CM
rheumatoid arthritis,45577101,M05.612,Rheumatoid arthritis of left shoulder with involvement of other organs and systems,6-char billing code,Non-Standard,12/31/69,12/30/99,"5,145","5,145",0,0,Condition,ICD10CM
rheumatoid arthritis,45562581,M05.022,"Felty's syndrome, left elbow",6-char billing code,Non-Standard,12/31/69,12/30/99,"4,966","4,966",0,0,Condition,ICD10CM
rheumatoid arthritis,45582010,M05.552,Rheumatoid polyneuropathy with rheumatoid arthritis of left hip,6-char billing code,Non-Standard,12/31/69,12/30/99,"4,948","4,948",0,0,Condition,ICD10CM
rheumatoid arthritis,45548260,M05.651,Rheumatoid arthritis of right hip with involvement of other organs and systems,6-char billing code,Non-Standard,12/31/69,12/30/99,"4,910","4,910",0,0,Condition,ICD10CM
rheumatoid arthritis,45548285,M08.932,"Juvenile arthritis, unspecified, left wrist",6-char billing code,Non-Standard,12/31/69,12/30/99,"4,864","4,864",0,0,Condition,ICD10CM
rheumatoid arthritis,45596433,M05.519,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified shoulder,6-char billing code,Non-Standard,12/31/69,12/30/99,"4,830","4,830",0,0,Condition,ICD10CM
rheumatoid arthritis,45601275,M05.211,Rheumatoid vasculitis with rheumatoid arthritis of right shoulder,6-char billing code,Non-Standard,12/31/69,12/30/99,"4,796","4,796",0,0,Condition,ICD10CM
rheumatoid arthritis,45567408,M05.262,Rheumatoid vasculitis with rheumatoid arthritis of left knee,6-char billing code,Non-Standard,12/31/69,12/30/99,"4,736","4,736",0,0,Condition,ICD10CM
rheumatoid arthritis,45606072,M08.079,"Unspecified juvenile rheumatoid arthritis, unspecified ankle and foot",6-char billing code,Non-Standard,12/31/69,12/30/99,"4,678","4,678",0,0,Condition,ICD10CM
rheumatoid arthritis,45606044,M05.422,Rheumatoid myopathy with rheumatoid arthritis of left elbow,6-char billing code,Non-Standard,12/31/69,12/30/99,"4,598","4,598",0,0,Condition,ICD10CM
rheumatoid arthritis,45533699,M05.829,Other rheumatoid arthritis with rheumatoid factor of unspecified elbow,6-char billing code,Non-Standard,12/31/69,12/30/99,"4,584","4,584",0,0,Condition,ICD10CM
rheumatoid arthritis,45591687,M05.112,Rheumatoid lung disease with rheumatoid arthritis of left shoulder,6-char billing code,Non-Standard,12/31/69,12/30/99,"4,516","4,516",0,0,Condition,ICD10CM
rheumatoid arthritis,45582003,M05.119,Rheumatoid lung disease with rheumatoid arthritis of unspecified shoulder,6-char billing code,Non-Standard,12/31/69,12/30/99,"4,382","4,382",0,0,Condition,ICD10CM
rheumatoid arthritis,45557777,M08.869,"Other juvenile arthritis, unspecified knee",6-char billing code,Non-Standard,12/31/69,12/30/99,"4,320","4,320",0,0,Condition,ICD10CM
rheumatoid arthritis,45543430,M05.131,Rheumatoid lung disease with rheumatoid arthritis of right wrist,6-char billing code,Non-Standard,12/31/69,12/30/99,"4,254","4,254",0,0,Condition,ICD10CM
rheumatoid arthritis,1570040,M06.0,Rheumatoid arthritis without rheumatoid factor,4-char nonbill code,Non-Standard,12/31/11,12/30/99,"4,153","4,153",0,0,Condition,ICD10CM
rheumatoid arthritis,45582006,M05.172,Rheumatoid lung disease with rheumatoid arthritis of left ankle and foot,6-char billing code,Non-Standard,12/31/69,12/30/99,"4,140","4,140",0,0,Condition,ICD10CM
